DATE,BAMLHY,ln_BAMLHY,lnr_BAMLHY
6/30/1998,9.04,2.201659174,0.014484933
7/1/1998,9.02,2.199444334,-0.00221484
7/2/1998,9.01,2.198335072,-0.001109262
7/3/1998,9.01,2.198335072,0
7/6/1998,9,2.197224577,-0.001110494
7/7/1998,9,2.197224577,0
7/8/1998,8.99,2.196112848,-0.001111729
7/9/1998,8.98,2.194999882,-0.001112966
7/10/1998,8.98,2.194999882,0
7/13/1998,8.99,2.196112848,0.001112966
7/14/1998,8.99,2.196112848,0
7/15/1998,8.96,2.192770227,-0.003342621
7/16/1998,8.97,2.193885676,0.001115449
7/17/1998,8.98,2.194999882,0.001114206
7/20/1998,8.96,2.192770227,-0.002229655
7/21/1998,8.94,2.190535589,-0.002234638
7/22/1998,8.94,2.190535589,0
7/23/1998,8.94,2.190535589,0
7/24/1998,8.94,2.190535589,0
7/27/1998,8.95,2.191653532,0.001117943
7/28/1998,8.93,2.189416395,-0.002237137
7/29/1998,8.99,2.196112848,0.006696454
7/30/1998,8.99,2.196112848,0
7/31/1998,9.06,2.20386912,0.007756272
8/3/1998,9.05,2.202764758,-0.001104362
8/4/1998,9.08,2.206074193,0.003309435
8/5/1998,9.1,2.208274414,0.002200221
8/6/1998,9.1,2.208274414,0
8/7/1998,9.12,2.210469804,0.002195391
8/10/1998,9.15,2.213753879,0.003284075
8/11/1998,9.28,2.227861547,0.014107668
8/12/1998,9.3,2.2300144,0.002152853
8/13/1998,9.34,2.234306252,0.004291852
8/14/1998,9.33,2.233235015,-0.001071237
8/17/1998,9.38,2.238579763,0.005344748
8/18/1998,9.41,2.241772954,0.003193191
8/19/1998,9.42,2.242835089,0.001062135
8/20/1998,9.43,2.243896097,0.001061008
8/21/1998,9.55,2.256541154,0.012645058
8/24/1998,9.57,2.258633205,0.002092051
8/25/1998,9.6,2.261763098,0.003129893
8/26/1998,9.7,2.272125886,0.010362787
8/27/1998,9.97,2.299580584,0.027454698
8/28/1998,10.1,2.312535424,0.01295484
8/31/1998,10.38,2.339880878,0.027345454
9/1/1998,10.45,2.346601978,0.006721101
9/2/1998,10.47,2.348514025,0.001912046
9/3/1998,10.47,2.348514025,0
9/4/1998,10.48,2.349468679,0.000954654
9/7/1998,10.47,2.348514025,-0.000954654
9/8/1998,10.45,2.346601978,-0.001912046
9/9/1998,10.47,2.348514025,0.001912046
9/10/1998,10.52,2.353278207,0.004764182
9/11/1998,10.62,2.362739016,0.009460809
9/14/1998,10.62,2.362739016,0
9/15/1998,10.64,2.364620484,0.001881468
9/16/1998,10.63,2.363680192,-0.000940292
9/17/1998,10.58,2.358965426,-0.004714766
9/18/1998,10.59,2.35991016,0.000944733
9/21/1998,10.58,2.358965426,-0.000944733
9/22/1998,10.56,2.357073278,-0.001892148
9/23/1998,10.5,2.351375257,-0.005698021
9/24/1998,10.46,2.347558459,-0.003816799
9/25/1998,10.45,2.346601978,-0.00095648
9/28/1998,10.44,2.345644582,-0.000957396
9/29/1998,10.45,2.346601978,0.000957396
9/30/1998,10.48,2.349468679,0.0028667
10/1/1998,10.46,2.347558459,-0.00191022
10/2/1998,10.52,2.353278207,0.005719749
10/5/1998,10.58,2.358965426,0.005687219
10/6/1998,10.62,2.362739016,0.003773589
10/7/1998,10.7,2.370243741,0.007504726
10/8/1998,11.05,2.402430428,0.032186686
10/9/1998,11.2,2.415913778,0.01348335
10/12/1998,11.2,2.415913778,0
10/13/1998,11.19,2.415020522,-0.000893256
10/14/1998,11.29,2.423917378,0.008896856
10/15/1998,11.34,2.428336298,0.00441892
10/16/1998,11.31,2.42568729,-0.002649008
10/19/1998,11.31,2.42568729,0
10/20/1998,11.26,2.421256623,-0.004430667
10/21/1998,11.23,2.418588769,-0.002667854
10/22/1998,11.18,2.414126468,-0.004462301
10/23/1998,11.14,2.410542234,-0.003584233
10/26/1998,11.11,2.407845604,-0.002696631
10/27/1998,11.08,2.405141681,-0.002703922
10/28/1998,11.09,2.406043801,0.00090212
10/29/1998,11.05,2.402430428,-0.003613373
10/30/1998,11.02,2.399711804,-0.002718624
10/31/1998,11.17,2.413231613,0.013519809
11/2/1998,11.11,2.407845604,-0.005386009
11/3/1998,11.04,2.401525041,-0.006320563
11/4/1998,11.05,2.402430428,0.000905387
11/5/1998,11.02,2.399711804,-0.002718624
11/6/1998,11.01,2.398803951,-0.000907853
11/9/1998,10.91,2.3896798,-0.009124151
11/10/1998,10.82,2.381396273,-0.008283526
11/11/1998,10.79,2.378619779,-0.002776494
11/12/1998,10.72,2.372111156,-0.006508624
11/13/1998,10.67,2.367436065,-0.00467509
11/16/1998,10.59,2.35991016,-0.007525906
11/17/1998,10.53,2.354228326,-0.005681833
11/18/1998,10.49,2.350422422,-0.003805904
11/19/1998,10.44,2.345644582,-0.00477784
11/20/1998,10.41,2.342766883,-0.0028777
11/23/1998,10.39,2.340843805,-0.001923078
11/24/1998,10.36,2.337952237,-0.002891568
11/25/1998,10.32,2.33408376,-0.003868477
11/26/1998,10.32,2.33408376,0
11/27/1998,10.31,2.333114298,-0.000969462
11/30/1998,10.29,2.33117255,-0.001941748
12/1/1998,10.27,2.329227024,-0.001945526
12/2/1998,10.26,2.32825284,-0.000974184
12/3/1998,10.25,2.327277706,-0.000975134
12/4/1998,10.28,2.33020026,0.002922554
12/7/1998,10.31,2.333114298,0.002914038
12/8/1998,10.29,2.33117255,-0.001941748
12/9/1998,10.29,2.33117255,0
12/10/1998,10.29,2.33117255,0
12/11/1998,10.34,2.336019869,0.004847319
12/14/1998,10.38,2.339880878,0.003861009
12/15/1998,10.38,2.339880878,0
12/16/1998,10.4,2.341805806,0.001924928
12/17/1998,10.4,2.341805806,0
12/18/1998,10.4,2.341805806,0
12/21/1998,10.42,2.343727036,0.00192123
12/22/1998,10.43,2.344686269,0.000959233
